artist,trigger,count,url,score
32zzz,32zzz,162,https://danbooru.donmai.us/posts?tags=32zzz,0.16011449694633484
33_gaff,33 gaff,171,https://danbooru.donmai.us/posts?tags=33_gaff,0.6287111043930054
343rone,343rone,115,https://danbooru.donmai.us/posts?tags=343rone,0.3110654652118683
34_(sanjushi),34 (sanjushi),115,https://danbooru.donmai.us/posts?tags=34_(sanjushi),0.18715260922908783
34no404,34no404,122,https://danbooru.donmai.us/posts?tags=34no404,0.25148576498031616
3774.,3774.,136,https://danbooru.donmai.us/posts?tags=3774.,0.5493295192718506
38_(sanjuuhachi),38 (sanjuuhachi),173,https://danbooru.donmai.us/posts?tags=38_(sanjuuhachi),0.6601327657699585
39_iduki,39 iduki,118,https://danbooru.donmai.us/posts?tags=39_iduki,0.6315875053405762
3_(sanyako1),3 (sanyako1),285,https://danbooru.donmai.us/posts?tags=3_(sanyako1),0.5379647016525269
3_small_spiders,3 small spiders,371,https://danbooru.donmai.us/posts?tags=3_small_spiders,0.5736780166625977
3d_rod!,3d rod!,106,https://danbooru.donmai.us/posts?tags=3d_rod!,0.21296212077140808
3four,3four,283,https://danbooru.donmai.us/posts?tags=3four,0.22422999143600464
3gs,3gs,165,https://danbooru.donmai.us/posts?tags=3gs,0.34379738569259644
3j_dangan,3j dangan,115,https://danbooru.donmai.us/posts?tags=3j_dangan,0.5897464752197266
3u,3u,139,https://danbooru.donmai.us/posts?tags=3u,0.33510538935661316
40010prototype,40010prototype,296,https://danbooru.donmai.us/posts?tags=40010prototype,0.25465255975723267
4040_(abonriya),4040 (abonriya),116,https://danbooru.donmai.us/posts?tags=4040_(abonriya),0.5600341558456421
40_(0f0urw),40 (0f0urw),142,https://danbooru.donmai.us/posts?tags=40_(0f0urw),0.8472961187362671
40hara,40hara,828,https://danbooru.donmai.us/posts?tags=40hara,0.21760426461696625
42u16,42u16,153,https://danbooru.donmai.us/posts?tags=42u16,0.3106292486190796
43_pon,43 pon,293,https://danbooru.donmai.us/posts?tags=43_pon,0.5548569560050964
463_jun,463 jun,268,https://danbooru.donmai.us/posts?tags=463_jun,0.5348286628723145
4690_(tkpbsk),4690 (tkpbsk),133,https://danbooru.donmai.us/posts?tags=4690_(tkpbsk),0.2546410858631134
